id,chapter_title,section_title,main_period_id,subperiod_id,sort_order
1,Chapter One,The sakhīs’ morning services,1,9,1
2,Chapter One,The birds awaken Rādhā and Kṛṣṇa,1,9,2
3,Chapter One,The pleasure fatigue,1,9,3
4,Chapter One,Rādhā-Kṛṣṇa’s sweet fatigue,1,9,4
5,Chapter One,Mañjarīs’ service and Kṛṣṇa’s agitation,1,10,1
6,Chapter One,Female Parrots speak to Rādhā,1,10,2
7,Chapter One,The male parrots speak to Kṛṣṇa,1,10,3
8,Chapter One,The sakhīs’ joy in seeing Śrī Rādhā and the pleasure bed,1,10,4
9,Chapter One,Forgetting to go home and Kakkhaṭī’s poetry,1,11,1
10,Chapter One,Rādhā’s lamentation and sleeping,1,11,2
